UNIQUE_IDENTIFIER,LOCAL_DEPARTURE_AT,LOCAL_ACTUAL_DEPARTURE_AT,LOCAL_ARRIVAL_AT,LOCAL_ACTUAL_ARRIVAL_AT,GMT_DEPARTURE_AT,GMT_ACTUAL_DEPARTURE_AT,GMT_ARRIVAL_AT,GMT_ACTUAL_ARRIVAL_AT,DEPARTURE_AIRPORT_CODE,ARRIVAL_AIRPORT_CODE,AIRLINE_CODE,DELAY_MINS,ARRIVAL_STATUS,CREATED_AT,UPDATED_AT
KL-988-20220801-LCY-AMS,2022-08-01 10:00:00.000,,2022-08-01 12:10:00.000,,2022-08-01 09:00:00.000,,2022-08-01 10:10:00.000,,LCY,AMS,KL,,,2022-07-24 00:40:19.000,2022-08-01 04:34:53.000
KL-988-20220801-LCY-AMS,2022-08-01 10:00:00.000,2022-08-01 10:10:00.000,2022-08-01 12:10:00.000,,2022-08-01 09:00:00.000,2022-08-01 09:10:00.000,2022-08-01 10:10:00.000,,LCY,AMS,KL,,NS,2022-07-24 00:40:19.000,2022-08-01 09:28:59.000
EY-1567-20210605-LIS-OPO,2021-06-05 18:00:00.000,,2021-06-05 18:55:00.000,,2021-06-05 17:00:00.000,,2021-06-05 17:55:00.000,,LIS,OPO,EY,,OT,2021-05-27 23:36:57.000,2021-06-05 16:58:21.000
EY-1567-20210605-LIS-OPO,2021-06-05 18:00:00.000,2021-06-05 17:56:00.000,2021-06-05 18:55:00.000,,2021-06-05 17:00:00.000,2021-06-05 16:56:00.000,2021-06-05 17:55:00.000,,LIS,OPO,EY,,OT,2021-05-27 23:36:57.000,2021-06-05 17:02:59.000
U2-8610-20210605-AGP-LGW,2021-06-05 17:15:00.000,2021-06-05 17:00:00.000,2021-06-05 19:05:00.000,,2021-06-05 15:15:00.000,2021-06-05 15:00:00.000,2021-06-05 18:05:00.000,,AGP,LGW,U2,,EY,2021-05-27 23:50:58.000,2021-06-05 17:13:20.000
EY-1567-20210605-LIS-OPO,2021-06-05 18:00:00.000,2021-06-05 17:56:00.000,2021-06-05 18:55:00.000,,2021-06-05 17:00:00.000,2021-06-05 16:56:00.000,2021-06-05 17:55:00.000,,LIS,OPO,EY,,NS,2021-05-27 23:36:57.000,2021-06-05 17:18:58.000
IB-5248-20211117-LPA-SVQ,2021-11-17 15:05:00.000,,2021-11-17 18:20:00.000,,2021-11-17 15:05:00.000,,2021-11-17 17:20:00.000,,LPA,SVQ,IB,,DY,2021-11-09 02:41:29.000,2021-11-17 15:32:04.000
IB-5248-20211117-LPA-SVQ,2021-11-17 15:05:00.000,2021-11-17 15:21:00.000,2021-11-17 18:20:00.000,,2021-11-17 15:05:00.000,2021-11-17 15:21:00.000,2021-11-17 17:20:00.000,,LPA,SVQ,IB,,NS,2021-11-09 02:41:29.000,2021-11-17 17:31:58.000
AM-6902-20211221-MAD-FRA,2021-12-21 07:05:00.000,2021-12-21 07:03:00.000,2021-12-21 09:50:00.000,,2021-12-21 06:05:00.000,2021-12-21 06:03:00.000,2021-12-21 08:50:00.000,,MAD,FRA,AM,,NS,2021-12-13 00:33:45.000,2021-12-21 08:25:14.000
KL-932-20220616-DUB-AMS,2022-06-16 05:55:00.000,,2022-06-16 08:40:00.000,,2022-06-16 04:55:00.000,,2022-06-16 06:40:00.000,,DUB,AMS,KL,,,2022-06-08 00:15:47.000,2022-06-16 03:26:51.000
KL-932-20220616-DUB-AMS,2022-06-16 05:55:00.000,,2022-06-16 08:40:00.000,,2022-06-16 04:55:00.000,,2022-06-16 06:40:00.000,,DUB,AMS,KL,,,2022-06-08 00:15:47.000,2022-06-16 03:32:03.000
KL-932-20220616-DUB-AMS,2022-06-16 05:55:00.000,2022-06-16 06:19:00.000,2022-06-16 08:40:00.000,,2022-06-16 04:55:00.000,2022-06-16 05:19:00.000,2022-06-16 06:40:00.000,,DUB,AMS,KL,,NS,2022-06-08 00:15:47.000,2022-06-16 06:03:02.000
KL-932-20220616-DUB-AMS,2022-06-16 05:55:00.000,,2022-06-16 08:40:00.000,,2022-06-16 04:55:00.000,,2022-06-16 06:40:00.000,,DUB,AMS,KL,,,2022-06-08 00:15:48.000,2022-06-08 00:15:48.000
KL-932-20220616-DUB-AMS,2022-06-16 05:55:00.000,2022-06-16 06:19:00.000,2022-06-16 08:40:00.000,,2022-06-16 04:55:00.000,2022-06-16 05:19:00.000,2022-06-16 06:40:00.000,,DUB,AMS,KL,,NS,2022-06-08 00:15:47.000,2022-06-16 06:38:04.000
KL-932-20220616-DUB-AMS,2022-06-16 05:55:00.000,2022-06-16 06:19:00.000,2022-06-16 08:40:00.000,,2022-06-16 04:55:00.000,2022-06-16 05:19:00.000,2022-06-16 06:40:00.000,,DUB,AMS,KL,,NS,2022-06-08 00:15:47.000,2022-06-16 06:39:24.000
KL-932-20220616-DUB-AMS,2022-06-16 05:55:00.000,2022-06-16 06:19:00.000,2022-06-16 08:40:00.000,,2022-06-16 04:55:00.000,2022-06-16 05:19:00.000,2022-06-16 06:40:00.000,,DUB,AMS,KL,,NS,2022-06-08 00:15:47.000,2022-06-16 06:44:22.000
KL-932-20220616-DUB-AMS,2022-06-16 05:55:00.000,2022-06-16 06:19:00.000,2022-06-16 08:40:00.000,,2022-06-16 04:55:00.000,2022-06-16 05:19:00.000,2022-06-16 06:40:00.000,,DUB,AMS,KL,,NS,2022-06-08 00:15:47.000,2022-06-16 06:44:41.000
CX-250-20221013-LHR-HKG,2022-10-13 18:20:00.000,2022-10-13 18:24:00.000,2022-10-14 13:45:00.000,,2022-10-13 17:20:00.000,2022-10-13 17:24:00.000,2022-10-14 05:45:00.000,,LHR,HKG,CX,,NS,2022-10-04 23:56:23.000,2022-10-14 02:43:20.000
HO-1306-20221014-HKG-NKG,2022-10-14 17:00:00.000,,2022-10-14 19:30:00.000,,2022-10-14 09:00:00.000,,2022-10-14 11:30:00.000,,HKG,NKG,HO,,NS,2022-10-06 00:43:47.000,2022-10-14 09:20:31.000
HO-1306-20221014-HKG-NKG,2022-10-14 17:00:00.000,,2022-10-14 19:30:00.000,,2022-10-14 09:00:00.000,,2022-10-14 11:30:00.000,,HKG,NKG,HO,,NS,2022-10-06 00:43:47.000,2022-10-14 09:21:12.000
HO-1306-20221014-HKG-NKG,2022-10-14 17:00:00.000,,2022-10-14 19:30:00.000,,2022-10-14 09:00:00.000,,2022-10-14 11:30:00.000,,HKG,NKG,HO,,NS,2022-10-06 00:43:47.000,2022-10-14 10:54:46.000
HO-1306-20221014-HKG-NKG,2022-10-14 17:00:00.000,,2022-10-14 19:30:00.000,,2022-10-14 09:00:00.000,,2022-10-14 11:30:00.000,,HKG,NKG,HO,,NS,2022-10-06 00:43:47.000,2022-10-14 11:10:57.000
AF-4839-20230608-MAD-IBZ,2023-06-08 08:15:00.000,,2023-06-08 09:30:00.000,,2023-06-08 06:15:00.000,,2023-06-08 07:30:00.000,,MAD,IBZ,AF,,OT,2023-05-30 01:26:11.000,2023-06-07 20:30:22.000
B6-2288-20231111-JFK-AMS,2023-11-11 19:41:00.000,2023-11-11 19:31:00.000,2023-11-12 09:20:00.000,,2023-11-12 00:41:00.000,2023-11-12 00:31:00.000,2023-11-12 08:20:00.000,,JFK,AMS,B6,,EY,2023-10-13 03:21:36.000,2023-11-12 00:51:11.000
B6-2289-20231011-AMS-JFK,2023-10-11 13:35:00.000,,2023-10-11 16:20:00.000,,2023-10-11 11:35:00.000,,2023-10-11 20:20:00.000,,AMS,JFK,B6,,EY,2023-09-12 06:02:21.000,2023-10-11 08:07:18.000
AF-4839-20230608-MAD-IBZ,2023-06-08 08:15:00.000,2023-06-08 08:20:00.000,2023-06-08 09:30:00.000,,2023-06-08 06:15:00.000,2023-06-08 06:20:00.000,2023-06-08 07:30:00.000,,MAD,IBZ,AF,,EY,2023-05-30 01:26:11.000,2023-06-08 06:39:18.000
AF-4839-20230608-MAD-IBZ,2023-06-08 08:15:00.000,2023-06-08 08:20:00.000,2023-06-08 09:30:00.000,,2023-06-08 06:15:00.000,2023-06-08 06:20:00.000,2023-06-08 07:30:00.000,,MAD,IBZ,AF,,EY,2023-05-30 01:26:11.000,2023-06-08 06:40:00.000
EI-8337-20230630-DUB-LHR,2023-06-30 15:20:00.000,,2023-06-30 16:45:00.000,,2023-06-30 14:20:00.000,,2023-06-30 15:45:00.000,,DUB,LHR,EI,,,2023-06-16 02:58:21.000,2023-06-16 02:58:21.000
BA-572-20231020-LHR-MXP,2023-10-20 09:20:00.000,,2023-10-20 12:35:00.000,,2023-10-20 08:20:00.000,,2023-10-20 10:35:00.000,,LHR,MXP,BA,,,2023-09-21 02:30:15.000,2023-09-21 02:30:15.000
IB-141-20231020-TFN-LPA,2023-10-20 17:00:00.000,2023-10-20 17:18:00.000,2023-10-20 17:30:00.000,,2023-10-20 16:00:00.000,2023-10-20 16:18:00.000,2023-10-20 16:30:00.000,,TFN,LPA,IB,,OT,2023-09-21 02:43:20.000,2023-10-20 16:41:26.000
IB-141-20231020-TFN-LPA,2023-10-20 17:00:00.000,,2023-10-20 17:30:00.000,,2023-10-20 16:00:00.000,,2023-10-20 16:30:00.000,,TFN,LPA,IB,,OT,2023-09-21 02:43:20.000,2023-10-20 15:48:38.000
QR-3758-20231122-SVQ-BCN,2023-11-22 14:20:00.000,,2023-11-22 15:55:00.000,,2023-11-22 13:20:00.000,,2023-11-22 14:55:00.000,,SVQ,BCN,QR,,DY,2023-10-24 00:47:02.000,2023-11-22 13:17:52.000
IB-5810-20230901-VLC-ORY,2023-09-01 20:30:00.000,2023-09-01 20:30:00.000,2023-09-01 22:35:00.000,,2023-09-01 18:30:00.000,2023-09-01 18:30:00.000,2023-09-01 20:35:00.000,,VLC,ORY,IB,,NS,2023-08-18 03:23:47.000,2023-09-01 20:21:49.000
IB-5810-20230901-VLC-ORY,2023-09-01 20:30:00.000,,2023-09-01 22:35:00.000,,2023-09-01 18:30:00.000,,2023-09-01 20:35:00.000,,VLC,ORY,IB,,EY,2023-08-18 03:23:47.000,2023-09-01 18:37:08.000
IB-5810-20230901-VLC-ORY,2023-09-01 20:30:00.000,,2023-09-01 22:35:00.000,,2023-09-01 18:30:00.000,,2023-09-01 20:35:00.000,,VLC,ORY,IB,,EY,2023-08-18 03:23:47.000,2023-09-01 18:40:35.000
IB-5810-20230901-VLC-ORY,2023-09-01 20:30:00.000,,2023-09-01 22:35:00.000,,2023-09-01 18:30:00.000,,2023-09-01 20:35:00.000,,VLC,ORY,IB,,EY,2023-08-18 03:23:47.000,2023-09-01 18:41:43.000
IB-141-20231020-TFN-LPA,2023-10-20 17:00:00.000,2023-10-20 17:18:00.000,2023-10-20 17:30:00.000,,2023-10-20 16:00:00.000,2023-10-20 16:18:00.000,2023-10-20 16:30:00.000,,TFN,LPA,IB,,DY,2023-09-21 02:43:20.000,2023-10-20 17:04:52.000
EW-6891-20231223-MUC-PMI,2023-12-23 10:55:00.000,2023-12-23 11:10:00.000,2023-12-23 13:05:00.000,,2023-12-23 09:55:00.000,2023-12-23 10:10:00.000,2023-12-23 12:05:00.000,,MUC,PMI,EW,,OT,2023-11-24 01:36:48.000,2023-12-23 10:39:56.000
BA-8461-20240401-LCY-IBZ,2024-04-01 10:55:00.000,2024-04-01 10:59:00.000,2024-04-01 14:20:00.000,2024-04-01 14:25:00.000,2024-04-01 09:55:00.000,2024-04-01 09:59:00.000,2024-04-01 12:20:00.000,2024-04-01 12:25:00.000,LCY,IBZ,BA,5,DY,2024-03-03 01:26:53.000,2024-04-01 12:26:25.000
DY-1805-20240531-AGP-OSL,2024-05-31 19:55:00.000,,2024-05-31 23:55:00.000,,2024-05-31 17:55:00.000,,2024-05-31 21:55:00.000,,AGP,OSL,DY,,,2024-05-02 00:35:15.000,2024-05-02 00:35:15.000
BA-8461-20240401-LCY-IBZ,2024-04-01 10:55:00.000,2024-04-01 10:59:00.000,2024-04-01 14:20:00.000,,2024-04-01 09:55:00.000,2024-04-01 09:59:00.000,2024-04-01 12:20:00.000,,LCY,IBZ,BA,,DY,2024-03-03 01:26:53.000,2024-04-01 12:21:03.000
BA-8461-20240401-LCY-IBZ,2024-04-01 10:55:00.000,2024-04-01 10:59:00.000,2024-04-01 14:20:00.000,,2024-04-01 09:55:00.000,2024-04-01 09:59:00.000,2024-04-01 12:20:00.000,,LCY,IBZ,BA,,DY,2024-03-03 01:26:53.000,2024-04-01 12:01:02.000
MU-1848-20240410-MAD-AMS,2024-04-10 13:05:00.000,,2024-04-10 15:35:00.000,,2024-04-10 11:05:00.000,,2024-04-10 13:35:00.000,,MAD,AMS,MU,,,2024-03-12 01:49:48.000,2024-03-12 01:49:48.000
MU-1848-20240410-MAD-AMS,2024-04-10 13:05:00.000,,2024-04-10 15:35:00.000,,2024-04-10 11:05:00.000,,2024-04-10 13:35:00.000,,MAD,AMS,MU,,CX,2024-03-12 01:49:48.000,2024-03-21 01:59:44.000
DY-1805-20240531-AGP-OSL,2024-05-31 19:55:00.000,,2024-05-31 23:55:00.000,,2024-05-31 17:55:00.000,,2024-05-31 21:55:00.000,,AGP,OSL,DY,,OT,2024-05-02 00:35:15.000,2024-05-31 05:55:41.000
BA-4209-20240715-MAD-GIG,2024-07-15 12:20:00.000,,2024-07-15 17:55:00.000,,2024-07-15 10:20:00.000,,2024-07-15 20:55:00.000,,MAD,GIG,BA,,EY,2024-06-16 00:23:08.000,2024-07-15 17:49:19.000
FR-5355-20240715-IBZ-MAD,2024-07-15 23:45:00.000,,2024-07-16 01:05:00.000,,2024-07-15 21:45:00.000,,2024-07-15 23:05:00.000,,IBZ,MAD,FR,,DY,2024-06-16 00:33:06.000,2024-07-16 02:51:59.000
TP-752-20240715-LIS-CPH,2024-07-15 07:20:00.000,2024-07-15 07:20:00.000,2024-07-15 12:00:00.000,,2024-07-15 06:20:00.000,2024-07-15 06:20:00.000,2024-07-15 10:00:00.000,,LIS,CPH,TP,,EY,2024-06-16 00:58:48.000,2024-07-15 18:42:11.000
FR-5355-20240715-IBZ-MAD,2024-07-15 23:45:00.000,,2024-07-16 01:05:00.000,,2024-07-15 21:45:00.000,,2024-07-15 23:05:00.000,,IBZ,MAD,FR,,OT,2024-06-16 00:33:06.000,2024-07-16 01:27:14.000
BA-4209-20240715-MAD-GIG,2024-07-15 12:20:00.000,2024-07-15 12:35:00.000,2024-07-15 17:55:00.000,2024-07-15 18:00:00.000,2024-07-15 10:20:00.000,2024-07-15 10:35:00.000,2024-07-15 20:55:00.000,2024-07-15 21:00:00.000,MAD,GIG,BA,5,DY,2024-06-16 00:23:08.000,2024-07-16 02:15:33.000
TP-752-20240715-LIS-CPH,2024-07-15 07:20:00.000,,2024-07-15 12:00:00.000,,2024-07-15 06:20:00.000,,2024-07-15 10:00:00.000,,LIS,CPH,TP,,,2024-06-16 00:58:48.000,2024-07-13 02:58:44.000
BA-4209-20240715-MAD-GIG,2024-07-15 12:20:00.000,2024-07-15 12:45:00.000,2024-07-15 17:55:00.000,,2024-07-15 10:20:00.000,2024-07-15 10:45:00.000,2024-07-15 20:55:00.000,,MAD,GIG,BA,,DY,2024-06-16 00:23:08.000,2024-07-15 19:58:01.000
AC-9183-20240102-BCN-FRA,2024-01-02 05:50:00.000,,2024-01-02 08:00:00.000,,2024-01-02 04:50:00.000,,2024-01-02 07:00:00.000,,BCN,FRA,AC,,OT,2023-12-04 01:19:06.000,2024-01-02 04:53:18.000
AC-9183-20240102-BCN-FRA,2024-01-02 05:50:00.000,2024-01-02 06:03:00.000,2024-01-02 08:00:00.000,2024-01-02 08:04:00.000,2024-01-02 04:50:00.000,2024-01-02 05:03:00.000,2024-01-02 07:00:00.000,2024-01-02 07:04:00.000,BCN,FRA,AC,4,DY,2023-12-04 01:19:06.000,2024-01-02 07:19:25.000
AC-9183-20240102-BCN-FRA,2024-01-02 05:50:00.000,,2024-01-02 08:00:00.000,,2024-01-02 04:50:00.000,,2024-01-02 07:00:00.000,,BCN,FRA,AC,,,2023-12-04 01:19:06.000,2023-12-04 01:19:06.000
KL-1921-20240111-AMS-GDN,2024-01-11 15:45:00.000,,2024-01-11 17:30:00.000,,2024-01-11 14:45:00.000,,2024-01-11 16:30:00.000,,AMS,GDN,KL,,,2023-12-13 01:42:45.000,2024-01-11 14:31:59.000
IB-5310-20221218-SVQ-TFN,2022-12-18 20:50:00.000,,2022-12-18 22:05:00.000,,2022-12-18 19:50:00.000,,2022-12-18 22:05:00.000,,SVQ,TFN,IB,,OT,2022-12-10 10:26:42.000,2022-12-18 00:28:47.000
IB-3314-20211220-MAD-ARN,2021-12-20 10:05:00.000,,2021-12-20 14:05:00.000,,2021-12-20 09:05:00.000,,2021-12-20 13:05:00.000,,MAD,ARN,IB,,OT,2021-12-12 00:48:19.000,2021-12-19 21:07:44.000
IB-3314-20211220-MAD-ARN,2021-12-20 10:05:00.000,2021-12-20 10:04:00.000,2021-12-20 14:05:00.000,,2021-12-20 09:05:00.000,2021-12-20 09:04:00.000,2021-12-20 13:05:00.000,,MAD,ARN,IB,,DY,2021-12-12 00:48:19.000,2021-12-20 09:09:29.000
IB-3314-20211220-MAD-ARN,2021-12-20 10:05:00.000,2021-12-20 10:04:00.000,2021-12-20 14:05:00.000,,2021-12-20 09:05:00.000,2021-12-20 09:04:00.000,2021-12-20 13:05:00.000,,MAD,ARN,IB,,DY,2021-12-12 00:48:19.000,2021-12-20 09:39:27.000
AZ-7760-20220611-FCO-LIS,2022-06-11 06:05:00.000,,2022-06-11 08:15:00.000,,2022-06-11 04:05:00.000,,2022-06-11 07:15:00.000,,FCO,LIS,AZ,,,2022-06-03 23:59:45.000,2022-06-03 23:59:45.000
AV-47-20211101-MAD-BOG,2021-11-01 23:55:00.000,,2021-11-02 05:05:00.000,,2021-11-01 22:55:00.000,,2021-11-02 10:05:00.000,,MAD,BOG,AV,,,2021-10-24 23:53:13.000,2021-10-24 23:53:13.000
AV-47-20211101-MAD-BOG,2021-11-01 23:55:00.000,2021-11-02 00:19:00.000,2021-11-02 05:05:00.000,,2021-11-01 22:55:00.000,2021-11-01 23:19:00.000,2021-11-02 10:05:00.000,,MAD,BOG,AV,,NS,2021-10-24 23:53:12.000,2021-11-02 03:58:12.000
AV-47-20211101-MAD-BOG,2021-11-01 23:55:00.000,2021-11-02 00:19:00.000,2021-11-02 05:05:00.000,,2021-11-01 22:55:00.000,2021-11-01 23:19:00.000,2021-11-02 10:05:00.000,,MAD,BOG,AV,,NS,2021-10-24 23:53:12.000,2021-11-02 04:01:46.000
AV-47-20211101-MAD-BOG,2021-11-01 23:55:00.000,2021-11-02 00:19:00.000,2021-11-02 05:05:00.000,,2021-11-01 22:55:00.000,2021-11-01 23:19:00.000,2021-11-02 10:05:00.000,,MAD,BOG,AV,,NS,2021-10-24 23:53:12.000,2021-11-02 03:56:06.000
AV-47-20211101-MAD-BOG,2021-11-01 23:55:00.000,2021-11-02 00:19:00.000,2021-11-02 05:05:00.000,,2021-11-01 22:55:00.000,2021-11-01 23:19:00.000,2021-11-02 10:05:00.000,,MAD,BOG,AV,,NS,2021-10-24 23:53:12.000,2021-11-02 04:07:18.000
AV-47-20211101-MAD-BOG,2021-11-01 23:55:00.000,2021-11-02 00:19:00.000,2021-11-02 05:05:00.000,,2021-11-01 22:55:00.000,2021-11-01 23:19:00.000,2021-11-02 10:05:00.000,,MAD,BOG,AV,,NS,2021-10-24 23:53:12.000,2021-11-02 04:14:22.000
KL-988-20220801-LCY-AMS,2022-08-01 10:00:00.000,,2022-08-01 12:10:00.000,,2022-08-01 09:00:00.000,,2022-08-01 10:10:00.000,,LCY,AMS,KL,,,2022-07-24 00:40:19.000,2022-08-01 04:35:18.000
KL-988-20220801-LCY-AMS,2022-08-01 10:00:00.000,2022-08-01 10:10:00.000,2022-08-01 12:10:00.000,,2022-08-01 09:00:00.000,2022-08-01 09:10:00.000,2022-08-01 10:10:00.000,,LCY,AMS,KL,,NS,2022-07-24 00:40:19.000,2022-08-01 09:50:10.000
FR-4545-20221102-BCN-OPO,2022-11-02 06:40:00.000,,2022-11-02 07:40:00.000,,2022-11-02 05:40:00.000,,2022-11-02 07:40:00.000,,BCN,OPO,FR,,NS,2022-10-25 00:13:23.000,2022-11-02 07:30:29.000
IB-3314-20211220-MAD-ARN,2021-12-20 10:05:00.000,2021-12-20 10:04:00.000,2021-12-20 14:05:00.000,,2021-12-20 09:05:00.000,2021-12-20 09:04:00.000,2021-12-20 13:05:00.000,,MAD,ARN,IB,,NS,2021-12-12 00:48:19.000,2021-12-20 13:04:10.000
IB-6824-20220714-GRU-MAD,2022-07-14 14:20:00.000,,2022-07-15 05:45:00.000,,2022-07-14 17:20:00.000,,2022-07-15 03:45:00.000,,GRU,MAD,IB,,NS,2022-07-06 00:45:02.000,2022-07-15 04:33:58.000
LS-1204-20211120-AGP-BHX,2021-11-20 15:30:00.000,2021-11-20 15:26:00.000,2021-11-20 17:35:00.000,,2021-11-20 14:30:00.000,2021-11-20 14:26:00.000,2021-11-20 17:35:00.000,,AGP,BHX,LS,,NS,2021-11-12 01:41:16.000,2021-11-20 16:32:21.000
KL-932-20220616-DUB-AMS,2022-06-16 05:55:00.000,2022-06-16 06:19:00.000,2022-06-16 08:40:00.000,,2022-06-16 04:55:00.000,2022-06-16 05:19:00.000,2022-06-16 06:40:00.000,,DUB,AMS,KL,,NS,2022-06-08 00:15:47.000,2022-06-16 05:32:54.000
KL-932-20220616-DUB-AMS,2022-06-16 05:55:00.000,2022-06-16 06:19:00.000,2022-06-16 08:40:00.000,,2022-06-16 04:55:00.000,2022-06-16 05:19:00.000,2022-06-16 06:40:00.000,,DUB,AMS,KL,,NS,2022-06-08 00:15:47.000,2022-06-16 05:34:26.000
AF-4839-20230608-MAD-IBZ,2023-06-08 08:15:00.000,2023-06-08 08:20:00.000,2023-06-08 09:30:00.000,2023-06-08 09:29:00.000,2023-06-08 06:15:00.000,2023-06-08 06:20:00.000,2023-06-08 07:30:00.000,2023-06-08 07:29:00.000,MAD,IBZ,AF,-1,EY,2023-05-30 01:26:11.000,2023-06-08 07:34:48.000
KL-1084-20230629-ORK-AMS,2023-06-29 06:10:00.000,,2023-06-29 09:00:00.000,,2023-06-29 05:10:00.000,,2023-06-29 07:00:00.000,,ORK,AMS,KL,,,2023-06-15 00:52:12.000,2023-06-15 00:52:12.000
KL-1084-20230629-ORK-AMS,2023-06-29 06:10:00.000,2023-06-29 06:08:00.000,2023-06-29 09:00:00.000,2023-06-29 08:44:00.000,2023-06-29 05:10:00.000,2023-06-29 05:08:00.000,2023-06-29 07:00:00.000,2023-06-29 06:44:00.000,ORK,AMS,KL,-16,EY,2023-06-15 00:52:12.000,2023-06-29 06:45:43.000
KL-1084-20230629-ORK-AMS,2023-06-29 06:10:00.000,2023-06-29 06:08:00.000,2023-06-29 09:00:00.000,2023-06-29 08:45:00.000,2023-06-29 05:10:00.000,2023-06-29 05:08:00.000,2023-06-29 07:00:00.000,2023-06-29 06:45:00.000,ORK,AMS,KL,-15,EY,2023-06-15 00:52:12.000,2023-06-29 06:48:31.000
KL-1084-20230629-ORK-AMS,2023-06-29 06:10:00.000,2023-06-29 06:08:00.000,2023-06-29 09:00:00.000,,2023-06-29 05:10:00.000,2023-06-29 05:08:00.000,2023-06-29 07:00:00.000,,ORK,AMS,KL,,,2023-06-15 00:52:12.000,2023-06-29 05:16:02.000
KL-1084-20230629-ORK-AMS,2023-06-29 06:10:00.000,2023-06-29 06:08:00.000,2023-06-29 09:00:00.000,,2023-06-29 05:10:00.000,2023-06-29 05:08:00.000,2023-06-29 07:00:00.000,,ORK,AMS,KL,,NS,2023-06-15 00:52:12.000,2023-06-29 05:20:05.000
IB-5810-20230901-VLC-ORY,2023-09-01 20:30:00.000,,2023-09-01 22:35:00.000,,2023-09-01 18:30:00.000,,2023-09-01 20:35:00.000,,VLC,ORY,IB,,OT,2023-08-18 03:23:47.000,2023-09-01 06:31:49.000
IB-5810-20230901-VLC-ORY,2023-09-01 20:30:00.000,,2023-09-01 22:35:00.000,,2023-09-01 18:30:00.000,,2023-09-01 20:35:00.000,,VLC,ORY,IB,,DY,2023-08-18 03:23:47.000,2023-09-01 17:50:13.000
IB-5810-20230901-VLC-ORY,2023-09-01 20:30:00.000,2023-09-01 20:30:00.000,2023-09-01 22:35:00.000,,2023-09-01 18:30:00.000,2023-09-01 18:30:00.000,2023-09-01 20:35:00.000,,VLC,ORY,IB,,EY,2023-08-18 03:23:47.000,2023-09-01 18:43:56.000
